URL,Repo,Created,App,Pull Created,Check Start,Check End,Total,Check
https://github.com/compare-ci/admin/issues/148,python-sum,2020-05-20 22:50:02,Azure Pipelines,22:50:07,22:50:23,22:50:32,0:00:25,0:00:09
https://github.com/compare-ci/admin/issues/148,python-sum,2020-05-20 22:50:02,GitHub Actions,22:50:07,22:50:20,22:50:23,0:00:16,0:00:03
https://github.com/compare-ci/admin/issues/148,python-sum,2020-05-20 22:50:02,Travis CI,22:50:07,22:50:25,22:50:42,0:00:35,0:00:17
https://github.com/compare-ci/admin/issues/148,python-sum,2020-05-20 22:50:02,CircleCI Checks,22:50:07,22:50:08,22:50:24,0:00:17,0:00:16
https://github.com/compare-ci/admin/issues/148,node-sum,2020-05-20 22:50:02,Azure Pipelines,22:50:12,22:50:22,22:50:45,0:00:33,0:00:23
https://github.com/compare-ci/admin/issues/148,node-sum,2020-05-20 22:50:02,GitHub Actions,22:50:12,22:50:25,22:50:42,0:00:30,0:00:17
https://github.com/compare-ci/admin/issues/148,node-sum,2020-05-20 22:50:02,Travis CI,22:50:12,22:50:32,22:51:05,0:00:53,0:00:33
https://github.com/compare-ci/admin/issues/148,node-sum,2020-05-20 22:50:02,CircleCI Checks,22:50:12,22:50:13,22:51:13,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/149,python-sum,2020-05-20 23:02:08,Azure Pipelines,23:02:18,23:02:34,23:02:54,0:00:36,0:00:20
https://github.com/compare-ci/admin/issues/149,python-sum,2020-05-20 23:02:08,GitHub Actions,23:02:18,23:02:32,23:02:58,0:00:40,0:00:26
https://github.com/compare-ci/admin/issues/149,python-sum,2020-05-20 23:02:08,Travis CI,23:02:18,23:02:38,23:03:10,0:00:52,0:00:32
https://github.com/compare-ci/admin/issues/149,python-sum,2020-05-20 23:02:08,CircleCI Checks,23:02:18,23:02:19,23:02:37,0:00:19,0:00:18
https://github.com/compare-ci/admin/issues/149,node-sum,2020-05-20 23:02:08,Azure Pipelines,23:02:13,23:04:11,23:04:22,0:02:09,0:00:11
https://github.com/compare-ci/admin/issues/149,node-sum,2020-05-20 23:02:08,GitHub Actions,23:02:13,23:02:28,23:02:31,0:00:18,0:00:03
https://github.com/compare-ci/admin/issues/149,node-sum,2020-05-20 23:02:08,Travis CI,23:02:13,23:02:33,23:02:50,0:00:37,0:00:17
https://github.com/compare-ci/admin/issues/149,node-sum,2020-05-20 23:02:08,CircleCI Checks,23:02:13,23:02:14,23:03:14,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/151,python-sum,2020-05-20 23:11:33,Azure Pipelines,23:11:37,23:11:51,23:12:01,0:00:24,0:00:10
https://github.com/compare-ci/admin/issues/151,python-sum,2020-05-20 23:11:33,GitHub Actions,23:11:37,23:11:50,23:11:54,0:00:17,0:00:04
https://github.com/compare-ci/admin/issues/151,python-sum,2020-05-20 23:11:33,Travis CI,23:11:37,23:12:00,23:12:19,0:00:42,0:00:19
https://github.com/compare-ci/admin/issues/151,python-sum,2020-05-20 23:11:33,CircleCI Checks,23:11:37,23:11:38,23:12:00,0:00:23,0:00:22
https://github.com/compare-ci/admin/issues/151,node-sum,2020-05-20 23:11:33,Azure Pipelines,23:11:41,23:11:57,23:12:20,0:00:39,0:00:23
https://github.com/compare-ci/admin/issues/151,node-sum,2020-05-20 23:11:33,GitHub Actions,23:11:41,23:11:55,23:12:21,0:00:40,0:00:26
https://github.com/compare-ci/admin/issues/151,node-sum,2020-05-20 23:11:33,Travis CI,23:11:41,23:12:03,23:12:37,0:00:56,0:00:34
https://github.com/compare-ci/admin/issues/151,node-sum,2020-05-20 23:11:33,CircleCI Checks,23:11:41,23:11:42,23:12:42,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/153,python-sum,2020-05-20 23:20:39,Azure Pipelines,23:20:44,23:20:59,23:21:08,0:00:24,0:00:09
https://github.com/compare-ci/admin/issues/153,python-sum,2020-05-20 23:20:39,GitHub Actions,23:20:44,23:20:56,23:20:59,0:00:15,0:00:03
https://github.com/compare-ci/admin/issues/153,python-sum,2020-05-20 23:20:39,Travis CI,23:20:44,23:21:04,23:21:21,0:00:37,0:00:17
https://github.com/compare-ci/admin/issues/153,python-sum,2020-05-20 23:20:39,CircleCI Checks,23:20:44,23:20:45,23:21:00,0:00:16,0:00:15
https://github.com/compare-ci/admin/issues/153,node-sum,2020-05-20 23:20:39,Azure Pipelines,23:20:48,23:21:03,23:21:32,0:00:44,0:00:29
https://github.com/compare-ci/admin/issues/153,node-sum,2020-05-20 23:20:39,GitHub Actions,23:20:48,23:21:00,23:21:27,0:00:39,0:00:27
https://github.com/compare-ci/admin/issues/153,node-sum,2020-05-20 23:20:39,Travis CI,23:20:48,23:21:08,23:21:40,0:00:52,0:00:32
https://github.com/compare-ci/admin/issues/153,node-sum,2020-05-20 23:20:39,CircleCI Checks,23:20:48,23:20:49,23:21:49,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/155,python-sum,2020-05-21 00:00:57,Azure Pipelines,00:01:01,00:01:48,00:01:57,0:00:56,0:00:09
https://github.com/compare-ci/admin/issues/155,python-sum,2020-05-21 00:00:57,GitHub Actions,00:01:01,00:01:16,00:01:17,0:00:16,0:00:01
https://github.com/compare-ci/admin/issues/155,python-sum,2020-05-21 00:00:57,Travis CI,00:01:01,00:01:31,00:01:49,0:00:48,0:00:18
https://github.com/compare-ci/admin/issues/155,python-sum,2020-05-21 00:00:57,CircleCI Checks,00:01:01,00:01:02,00:01:11,0:00:10,0:00:09
https://github.com/compare-ci/admin/issues/155,node-sum,2020-05-21 00:00:57,Azure Pipelines,00:01:05,00:02:11,00:02:36,0:01:31,0:00:25
https://github.com/compare-ci/admin/issues/155,node-sum,2020-05-21 00:00:57,GitHub Actions,00:01:05,00:01:20,00:01:38,0:00:33,0:00:18
https://github.com/compare-ci/admin/issues/155,node-sum,2020-05-21 00:00:57,Travis CI,00:01:05,00:01:26,00:01:57,0:00:52,0:00:31
https://github.com/compare-ci/admin/issues/155,node-sum,2020-05-21 00:00:57,CircleCI Checks,00:01:05,00:01:07,00:02:10,0:01:05,0:01:03
https://github.com/compare-ci/admin/issues/157,node-sum,2020-05-21 00:28:51,Azure Pipelines,00:28:59,00:29:16,00:29:37,0:00:38,0:00:21
https://github.com/compare-ci/admin/issues/157,node-sum,2020-05-21 00:28:51,GitHub Actions,00:28:59,00:29:13,00:29:28,0:00:29,0:00:15
https://github.com/compare-ci/admin/issues/157,node-sum,2020-05-21 00:28:51,Travis CI,00:28:59,00:29:21,00:29:55,0:00:56,0:00:34
https://github.com/compare-ci/admin/issues/157,node-sum,2020-05-21 00:28:51,CircleCI Checks,00:28:59,00:29:00,00:29:25,0:00:26,0:00:25
https://github.com/compare-ci/admin/issues/157,python-sum,2020-05-21 00:28:51,Azure Pipelines,00:28:55,00:29:13,00:29:53,0:00:58,0:00:40
https://github.com/compare-ci/admin/issues/157,python-sum,2020-05-21 00:28:51,GitHub Actions,00:28:55,00:29:08,00:29:11,0:00:16,0:00:03
https://github.com/compare-ci/admin/issues/157,python-sum,2020-05-21 00:28:51,Travis CI,00:28:55,00:29:20,00:29:38,0:00:43,0:00:18
https://github.com/compare-ci/admin/issues/157,python-sum,2020-05-21 00:28:51,CircleCI Checks,00:28:55,00:28:56,00:29:56,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/158,python-sum,2020-05-21 04:28:56,Azure Pipelines,04:29:00,04:29:19,04:29:29,0:00:29,0:00:10
https://github.com/compare-ci/admin/issues/158,python-sum,2020-05-21 04:28:56,GitHub Actions,04:29:00,04:29:44,04:29:47,0:00:47,0:00:03
https://github.com/compare-ci/admin/issues/158,python-sum,2020-05-21 04:28:56,Travis CI,04:29:00,04:29:19,04:29:36,0:00:36,0:00:17
https://github.com/compare-ci/admin/issues/158,python-sum,2020-05-21 04:28:56,CircleCI Checks,04:29:00,04:29:01,04:29:09,0:00:09,0:00:08
https://github.com/compare-ci/admin/issues/158,node-sum,2020-05-21 04:28:56,Azure Pipelines,04:29:05,04:29:25,04:29:51,0:00:46,0:00:26
https://github.com/compare-ci/admin/issues/158,node-sum,2020-05-21 04:28:56,GitHub Actions,04:29:05,04:29:18,04:29:33,0:00:28,0:00:15
https://github.com/compare-ci/admin/issues/158,node-sum,2020-05-21 04:28:56,Travis CI,04:29:05,04:29:27,04:30:01,0:00:56,0:00:34
https://github.com/compare-ci/admin/issues/158,node-sum,2020-05-21 04:28:56,CircleCI Checks,04:29:05,04:29:06,04:30:06,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/159,python-sum,2020-05-21 08:28:59,Azure Pipelines,08:29:03,08:29:21,08:29:32,0:00:29,0:00:11
https://github.com/compare-ci/admin/issues/159,python-sum,2020-05-21 08:28:59,GitHub Actions,08:29:03,08:29:17,08:29:22,0:00:19,0:00:05
https://github.com/compare-ci/admin/issues/159,python-sum,2020-05-21 08:28:59,Travis CI,08:29:03,08:29:23,08:29:40,0:00:37,0:00:17
https://github.com/compare-ci/admin/issues/159,python-sum,2020-05-21 08:28:59,CircleCI Checks,08:29:03,08:29:04,08:29:12,0:00:09,0:00:08
https://github.com/compare-ci/admin/issues/159,node-sum,2020-05-21 08:28:59,Azure Pipelines,08:29:08,08:29:24,08:29:50,0:00:42,0:00:26
https://github.com/compare-ci/admin/issues/159,node-sum,2020-05-21 08:28:59,GitHub Actions,08:29:08,08:29:53,08:30:07,0:00:59,0:00:14
https://github.com/compare-ci/admin/issues/159,node-sum,2020-05-21 08:28:59,Travis CI,08:29:08,08:29:30,08:30:03,0:00:55,0:00:33
https://github.com/compare-ci/admin/issues/159,node-sum,2020-05-21 08:28:59,CircleCI Checks,08:29:08,08:29:09,08:30:09,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/160,python-sum,2020-05-21 12:28:42,Azure Pipelines,12:28:47,12:29:04,12:29:13,0:00:26,0:00:09
https://github.com/compare-ci/admin/issues/160,python-sum,2020-05-21 12:28:42,GitHub Actions,12:28:47,12:29:03,12:29:07,0:00:20,0:00:04
https://github.com/compare-ci/admin/issues/160,python-sum,2020-05-21 12:28:42,Travis CI,12:28:47,12:29:06,12:29:24,0:00:37,0:00:18
https://github.com/compare-ci/admin/issues/160,python-sum,2020-05-21 12:28:42,CircleCI Checks,12:28:47,12:28:48,12:28:55,0:00:08,0:00:07
https://github.com/compare-ci/admin/issues/160,node-sum,2020-05-21 12:28:42,Azure Pipelines,12:28:51,12:29:08,12:29:38,0:00:47,0:00:30
https://github.com/compare-ci/admin/issues/160,node-sum,2020-05-21 12:28:42,GitHub Actions,12:28:51,12:29:05,12:29:22,0:00:31,0:00:17
https://github.com/compare-ci/admin/issues/160,node-sum,2020-05-21 12:28:42,Travis CI,12:28:51,12:29:14,12:29:47,0:00:56,0:00:33
https://github.com/compare-ci/admin/issues/160,node-sum,2020-05-21 12:28:42,CircleCI Checks,12:28:51,12:28:52,12:29:52,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/162,python-sum,2020-05-21 14:23:16,Azure Pipelines,14:23:21,14:23:37,14:23:47,0:00:26,0:00:10
https://github.com/compare-ci/admin/issues/162,python-sum,2020-05-21 14:23:16,GitHub Actions,14:23:21,14:23:34,14:23:38,0:00:17,0:00:04
https://github.com/compare-ci/admin/issues/162,python-sum,2020-05-21 14:23:16,Travis CI,14:23:21,14:23:41,14:23:59,0:00:38,0:00:18
https://github.com/compare-ci/admin/issues/162,python-sum,2020-05-21 14:23:16,CircleCI Checks,14:23:21,14:23:21,14:23:37,0:00:16,0:00:16
https://github.com/compare-ci/admin/issues/162,node-sum,2020-05-21 14:23:16,Azure Pipelines,14:23:25,14:23:44,14:24:27,0:01:02,0:00:43
https://github.com/compare-ci/admin/issues/162,node-sum,2020-05-21 14:23:16,GitHub Actions,14:23:25,14:23:40,14:23:55,0:00:30,0:00:15
https://github.com/compare-ci/admin/issues/162,node-sum,2020-05-21 14:23:16,Travis CI,14:23:25,14:23:45,14:24:17,0:00:52,0:00:32
https://github.com/compare-ci/admin/issues/162,node-sum,2020-05-21 14:23:16,CircleCI Checks,14:23:25,14:23:26,14:24:26,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/163,python-sum,2020-05-21 14:25:53,Azure Pipelines,14:25:57,14:26:22,14:26:31,0:00:34,0:00:09
https://github.com/compare-ci/admin/issues/163,python-sum,2020-05-21 14:25:53,GitHub Actions,14:25:57,14:26:11,14:26:14,0:00:17,0:00:03
https://github.com/compare-ci/admin/issues/163,python-sum,2020-05-21 14:25:53,Travis CI,14:25:57,14:26:23,14:26:41,0:00:44,0:00:18
https://github.com/compare-ci/admin/issues/163,python-sum,2020-05-21 14:25:53,CircleCI Checks,14:25:57,14:25:58,14:26:06,0:00:09,0:00:08
https://github.com/compare-ci/admin/issues/163,node-sum,2020-05-21 14:25:53,Azure Pipelines,14:26:02,14:26:19,14:26:49,0:00:47,0:00:30
https://github.com/compare-ci/admin/issues/163,node-sum,2020-05-21 14:25:53,GitHub Actions,14:26:02,14:26:16,14:26:41,0:00:39,0:00:25
https://github.com/compare-ci/admin/issues/163,node-sum,2020-05-21 14:25:53,Travis CI,14:26:02,14:26:25,14:26:59,0:00:57,0:00:34
https://github.com/compare-ci/admin/issues/163,node-sum,2020-05-21 14:25:53,CircleCI Checks,14:26:02,14:26:03,14:27:03,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/164,python-sum,2020-05-21 16:28:48,Azure Pipelines,16:28:54,16:29:11,16:29:21,0:00:27,0:00:10
https://github.com/compare-ci/admin/issues/164,python-sum,2020-05-21 16:28:48,GitHub Actions,16:28:54,16:29:08,16:29:11,0:00:17,0:00:03
https://github.com/compare-ci/admin/issues/164,python-sum,2020-05-21 16:28:48,Travis CI,16:28:54,16:29:18,16:29:37,0:00:43,0:00:19
https://github.com/compare-ci/admin/issues/164,python-sum,2020-05-21 16:28:48,CircleCI Checks,16:28:54,16:28:55,16:29:04,0:00:10,0:00:09
https://github.com/compare-ci/admin/issues/164,node-sum,2020-05-21 16:28:48,Azure Pipelines,16:29:01,16:29:18,16:29:41,0:00:40,0:00:23
https://github.com/compare-ci/admin/issues/164,node-sum,2020-05-21 16:28:48,GitHub Actions,16:29:01,16:29:16,16:29:32,0:00:31,0:00:16
https://github.com/compare-ci/admin/issues/164,node-sum,2020-05-21 16:28:48,Travis CI,16:29:01,16:29:23,16:29:56,0:00:55,0:00:33
https://github.com/compare-ci/admin/issues/164,node-sum,2020-05-21 16:28:48,CircleCI Checks,16:29:01,16:29:02,16:29:17,0:00:16,0:00:15
https://github.com/compare-ci/admin/issues/165,python-sum,2020-05-21 20:30:46,Azure Pipelines,20:30:50,20:32:49,20:32:58,0:02:08,0:00:09
https://github.com/compare-ci/admin/issues/165,python-sum,2020-05-21 20:30:46,GitHub Actions,20:30:50,20:31:09,20:31:12,0:00:22,0:00:03
https://github.com/compare-ci/admin/issues/165,python-sum,2020-05-21 20:30:46,Travis CI,20:30:50,20:31:17,20:31:36,0:00:46,0:00:19
https://github.com/compare-ci/admin/issues/165,python-sum,2020-05-21 20:30:46,CircleCI Checks,20:30:50,20:30:52,20:31:51,0:01:01,0:00:59
https://github.com/compare-ci/admin/issues/165,node-sum,2020-05-21 20:30:46,Azure Pipelines,20:30:55,20:32:52,20:33:14,0:02:19,0:00:22
https://github.com/compare-ci/admin/issues/165,node-sum,2020-05-21 20:30:46,GitHub Actions,20:30:55,20:31:11,20:31:38,0:00:43,0:00:27
https://github.com/compare-ci/admin/issues/165,node-sum,2020-05-21 20:30:46,Travis CI,20:30:55,20:31:19,20:31:53,0:00:58,0:00:34
https://github.com/compare-ci/admin/issues/165,node-sum,2020-05-21 20:30:46,CircleCI Checks,20:30:55,20:30:56,20:31:56,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/166,python-sum,2020-05-22 00:28:36,Azure Pipelines,00:28:40,00:28:55,00:29:08,0:00:28,0:00:13
https://github.com/compare-ci/admin/issues/166,python-sum,2020-05-22 00:28:36,GitHub Actions,00:28:40,00:28:56,00:29:08,0:00:28,0:00:12
https://github.com/compare-ci/admin/issues/166,python-sum,2020-05-22 00:28:36,Travis CI,00:28:40,00:28:59,00:29:16,0:00:36,0:00:17
https://github.com/compare-ci/admin/issues/166,python-sum,2020-05-22 00:28:36,CircleCI Checks,00:28:40,00:28:41,00:29:24,0:00:44,0:00:43
https://github.com/compare-ci/admin/issues/166,node-sum,2020-05-22 00:28:36,Azure Pipelines,00:28:44,00:29:00,00:29:35,0:00:51,0:00:35
https://github.com/compare-ci/admin/issues/166,node-sum,2020-05-22 00:28:36,GitHub Actions,00:28:44,00:28:58,00:29:28,0:00:44,0:00:30
https://github.com/compare-ci/admin/issues/166,node-sum,2020-05-22 00:28:36,Travis CI,00:28:44,00:29:07,00:29:40,0:00:56,0:00:33
https://github.com/compare-ci/admin/issues/166,node-sum,2020-05-22 00:28:36,CircleCI Checks,00:28:44,00:28:45,00:29:45,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/167,python-sum,2020-05-22 04:28:43,Azure Pipelines,04:28:47,04:29:02,04:29:11,0:00:24,0:00:09
https://github.com/compare-ci/admin/issues/167,python-sum,2020-05-22 04:28:43,GitHub Actions,04:28:47,04:29:02,04:29:05,0:00:18,0:00:03
https://github.com/compare-ci/admin/issues/167,python-sum,2020-05-22 04:28:43,Travis CI,04:28:47,04:29:06,04:29:24,0:00:37,0:00:18
https://github.com/compare-ci/admin/issues/167,python-sum,2020-05-22 04:28:43,CircleCI Checks,04:28:47,04:28:48,04:29:17,0:00:30,0:00:29
https://github.com/compare-ci/admin/issues/167,node-sum,2020-05-22 04:28:43,Azure Pipelines,04:28:51,04:29:07,04:29:30,0:00:39,0:00:23
https://github.com/compare-ci/admin/issues/167,node-sum,2020-05-22 04:28:43,GitHub Actions,04:28:51,04:29:06,04:29:41,0:00:50,0:00:35
https://github.com/compare-ci/admin/issues/167,node-sum,2020-05-22 04:28:43,Travis CI,04:28:51,04:29:12,04:29:47,0:00:56,0:00:35
https://github.com/compare-ci/admin/issues/167,node-sum,2020-05-22 04:28:43,CircleCI Checks,04:28:51,04:28:52,04:29:52,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/168,python-sum,2020-05-22 08:28:49,Azure Pipelines,08:28:54,08:29:11,08:29:22,0:00:28,0:00:11
https://github.com/compare-ci/admin/issues/168,python-sum,2020-05-22 08:28:49,GitHub Actions,08:28:54,08:29:09,08:29:12,0:00:18,0:00:03
https://github.com/compare-ci/admin/issues/168,python-sum,2020-05-22 08:28:49,Travis CI,08:28:54,08:29:14,08:29:32,0:00:38,0:00:18
https://github.com/compare-ci/admin/issues/168,python-sum,2020-05-22 08:28:49,CircleCI Checks,08:28:54,08:28:55,08:29:07,0:00:13,0:00:12
